日期,縣市別代碼,行政區域代碼,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,經度,緯度
20190513,67000,67000180,𦰡拔里,地區,50,0,0,2,2,0,0,0,0,0,0,0,120.35037,23.070273
20190513,67000,67000180,𦰡拔里,地區,50,0,0,1,1,0,0,0,0,0,0,0,120.35037,23.070273
20190909,67000,67000180,𦰡拔里,地區,50,0,0,1,1,0,0,0,0,0,0,0,120.35037,23.070273
20190104,67000,67000350,鹽田里,住宅,50,1,1,8,9,0,1,1,2,1,11,4,120.1531568,23.028049
20190111,67000,67000350,鹽田里,住宅,50,0,3,5,8,0,0,0,0,0,0,0,120.1531568,23.028049
20190111,67000,67000350,鹽田里,住宅,50,0,11,12,23,0,0,0,0,0,0,0,120.1531568,23.028049
20190111,67000,67000350,鹽田里,住宅,50,0,2,3,5,0,0,0,0,0,0,0,120.1531568,23.028049
20190118,67000,67000350,鹽田里,住宅,50,0,3,16,19,0,0,0,0,0,0,0,120.1531568,23.028049
20190125,67000,67000350,鹽田里,住宅,50,0,2,23,25,0,0,0,0,0,0,0,120.1531568,23.028049
20190129,67000,67000350,鹽田里,住宅,50,0,7,4,11,0,0,0,0,0,0,0,120.1531568,23.028049
20190218,67000,67000350,鹽田里,住宅,50,0,1,7,8,0,0,0,0,0,0,0,120.1531568,23.028049
20190308,67000,67000350,鹽田里,住宅,50,0,7,49,56,0,0,0,0,0,0,0,120.1531568,23.028049
20190327,67000,67000350,鹽田里,住宅,50,0,25,29,54,0,0,0,0,0,0,0,120.1531568,23.028049
20190327,67000,67000350,鹽田里,住宅,50,0,25,29,54,0,0,0,0,0,0,0,120.1531568,23.028049
20190416,67000,67000350,鹽田里,住宅,50,0,0,12,12,0,0,0,0,0,0,0,120.1531568,23.028049
20190426,67000,67000350,鹽田里,住宅,50,0,0,5,5,0,0,0,0,0,0,0,120.1531568,23.028049
20190512,67000,67000350,鹽田里,住宅,50,1,0,10,10,0,1,1,2,1,10,4,120.1531568,23.028049
20190516,67000,67000350,鹽田里,住宅,50,1,6,17,23,0,1,1,2,1,4,2,120.1531568,23.028049
20190531,67000,67000350,鹽田里,住宅,51,0,1,21,22,0,0,0,0,0,0,0,120.1531568,23.028049
20190624,67000,67000350,鹽田里,住宅,50,4,3,46,49,0,4,4,8,2,8,3,120.1531568,23.028049
20190808,67000,67000350,鹽田里,住宅,50,0,0,19,19,0,0,0,0,0,0,0,120.1531568,23.028049
20190828,67000,67000350,鹽田里,住宅,50,3,0,15,15,0,4,4,8,2,27,6,120.1531568,23.028049
20190902,67000,67000350,鹽田里,住宅,50,3,19,18,37,0,3,3,6,2,8,3,120.1531568,23.028049
20191005,67000,67000350,鹽田里,住宅,50,0,9,11,20,0,0,0,0,0,0,0,120.1531568,23.028049
20191018,67000,67000350,鹽田里,住宅,50,0,0,16,16,0,0,0,0,0,0,0,120.1531568,23.028049
20191107,67000,67000350,鹽田里,住宅,50,0,1,12,13,0,0,0,0,0,0,0,120.1531568,23.028049
20191204,67000,67000350,鹽田里,住宅,50,0,10,22,32,0,0,0,0,0,0,0,120.1531568,23.028049
20191223,67000,67000350,鹽田里,住宅,50,0,5,12,17,0,0,0,0,0,0,0,120.1531568,23.028049
20190214,67000,67000070,晋江里,住宅,60,0,0,4,4,0,0,0,0,0,0,0,120.2534363,23.18083
20190418,67000,67000070,晋江里,住宅,60,0,0,1,1,0,0,0,0,0,0,0,120.2534363,23.18083
20190418,67000,67000070,晋江里,住宅,60,0,0,1,1,0,0,0,0,0,0,0,120.2534363,23.18083
20190715,67000,67000070,晋江里,住宅,60,2,0,11,11,0,2,2,3,1,18,5,120.252528,23.179892
20190810,67000,67000070,晋江里,住宅,93,0,0,6,6,0,0,0,0,0,0,0,120.252528,23.179892
20190111,67000,67000310,鹽行里,住宅,50,1,2,12,14,0,1,1,2,1,7,3,120.2426185,23.0388385
20190124,67000,67000310,鹽行里,住宅,50,0,8,1,9,0,0,0,0,0,0,0,120.2426185,23.0388385
