日期,縣市別代碼,行政區域代碼,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,經度,緯度
20240309,67000,67000320,東光里,住宅,50,0,1,12,13,0,0,0,0,0,0,0,120.2303571,22.99242
20240309,67000,67000370,郡王里,住宅,51,0,0,0,0,0,0,0,0,0,0,0,120.2072739,22.986515
20240309,67000,67000350,國安里,住宅,50,0,1,0,1,0,0,0,0,0,0,0,120.1805789,23.0236541
20240309,67000,67000350,塭南里,住宅,50,0,4,5,9,0,0,0,0,0,0,0,120.2209801,23.0715691
20240309,67000,67000350,溪心里,住宅,60,0,1,0,1,0,0,0,0,0,0,0,120.1849082,23.0509441
20240309,67000,67000350,鳳凰里,住宅,50,0,3,2,5,0,0,0,0,0,0,0,120.2000596,23.0417267
20240309,67000,67000190,蓮潭里,住宅,58,0,0,2,2,0,0,0,0,0,0,0,120.30698,23.11174
20240308,67000,67000320,中西里,住宅,57,0,9,4,13,0,0,0,0,0,0,0,120.2202587,22.9905086
20240308,67000,67000370,府前里,市場,50,0,0,5,5,0,0,0,0,0,0,0,120.1963328,22.9914479
20240308,67000,67000350,海西里,住宅,59,0,1,2,3,0,0,0,0,0,0,0,120.1791357,23.0306699
20240308,67000,67000350,海東里,住宅,50,0,1,4,5,0,0,0,0,0,0,0,120.1863512,23.0412431
20240308,67000,67000190,田寮里,住宅,50,0,0,5,5,0,0,0,0,0,0,0,120.3046289,23.1478822
20240308,67000,67000240,東勢里,住宅,100,0,0,18,18,0,0,0,0,0,0,0,120.4904831,23.1795018
20240308,67000,67000150,樹林里,住宅,50,0,0,8,8,0,0,0,0,0,0,0,120.1560436,23.1107075
20240308,67000,67000160,廣山里,住宅,50,1,0,12,12,0,2,2,4,1,17,5,120.1213978,23.2200538
20240307,67000,67000320,大德里,住宅,50,0,0,3,3,0,0,0,0,0,0,0,120.2148485,22.9778817
20240307,67000,67000320,中西里,住宅,51,0,1,1,2,0,0,0,0,0,0,0,120.2202587,22.9905086
20240307,67000,67000320,自強里,住宅,50,0,6,0,6,0,0,0,0,0,0,0,120.2332423,22.9824198
20240307,67000,67000320,東明里,住宅,60,0,1,5,6,0,0,0,0,0,0,0,120.227472,22.9916823
20240307,67000,67000320,南聖里,住宅,50,0,1,3,4,0,0,0,0,0,0,0,120.2462245,22.9890944
20240307,67000,67000320,崇成里,住宅,50,0,1,2,3,0,0,0,0,0,0,0,120.2289146,22.9712457
20240307,67000,67000320,崇明里,菜園,50,0,0,3,3,0,0,0,0,0,0,0,120.2195374,22.9685104
20240307,67000,67000320,裕聖里,住宅,50,0,0,2,2,0,0,0,0,0,0,0,120.2469457,22.9802195
20240307,67000,67000320,衛國里,住宅,50,0,1,0,1,0,0,0,0,0,0,0,120.2245867,22.9882597
20240307,67000,67000330,大林里,住宅,50,0,3,3,6,0,0,0,0,0,0,0,120.2058311,22.9733919
20240307,67000,67000330,文南里,住宅,50,0,6,0,6,0,0,0,0,0,0,0,120.1870727,22.9840282
20240307,67000,67000330,喜北里,住宅,50,0,3,6,9,0,0,0,0,0,0,0,120.1776926,22.9490628
20240307,67000,67000330,喜東里,住宅,50,0,2,4,6,0,0,0,0,0,0,0,120.1906803,22.9423225
20240307,67000,67000330,喜南里,住宅,50,0,0,3,3,0,0,0,0,0,0,0,120.1776926,22.9383204
20240307,67000,67000330,鹽埕里,住宅,50,0,0,3,3,0,0,0,0,0,0,0,120.189112,22.972299
20240307,67000,67000340,大興里,住宅,50,0,0,3,3,0,0,0,0,0,0,0,120.2124298,23.0079508
20240307,67000,67000340,小北里,住宅,50,0,0,6,6,0,0,0,0,0,0,0,120.2090062,23.00778
20240307,67000,67000340,仁愛里,住宅,50,1,10,3,13,0,1,1,2,1,8,3,120.2202587,23.0025898
20240307,67000,67000340,元美里,住宅,50,0,3,4,7,0,0,0,0,0,0,0,120.194407,23.0100026
20240307,67000,67000340,文成里,住宅,50,0,6,3,9,0,0,0,0,0,0,0,120.1971737,23.0074248
20240307,67000,67000340,東興里,住宅,50,0,1,4,5,0,0,0,0,0,0,0,120.2260293,23.0013807
20240307,67000,67000370,小西門里,住宅,50,0,6,3,9,0,0,0,0,0,0,0,120.199521,22.984497
20240307,67000,67000370,五條港里,住宅,50,0,0,2,2,0,0,0,0,0,0,0,120.196801,22.9975266
20240307,67000,67000370,西賢里,住宅,50,0,2,1,3,0,0,0,0,0,0,0,120.1719199,23.0039814
20240307,67000,67000370,兌悅里,住宅,50,0,8,10,18,0,0,0,0,0,0,0,120.1960656,23.000799
20240307,67000,67000370,南美里,住宅,57,0,0,3,3,0,0,0,0,0,0,0,120.2006558,22.9901453
20240307,67000,67000370,淺草里,住宅,50,0,2,2,4,0,0,0,0,0,0,0,120.1926879,22.9950875
20240307,67000,67000370,藥王里,住宅,50,0,3,4,7,0,0,0,0,0,0,0,120.1914018,22.9992346
20240307,67000,67000350,大安里,住宅,50,0,4,5,9,0,0,0,0,0,0,0,120.1950093,23.0313733
20240307,67000,67000350,安和里,住宅,50,0,0,4,4,0,0,0,0,0,0,0,120.218816,23.0310818
20240307,67000,67000350,安慶里,住宅,50,0,4,4,8,0,0,0,0,0,0,0,120.2094381,23.0390892
20240307,67000,67000350,城中里,住宅,50,0,0,8,8,0,0,0,0,0,0,0,120.1307819,23.058919
