日期,縣市別代碼,行政區域代碼,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,經度,緯度
20221011,67000,67000180,𦰡拔里,住宅,50,0,0,8,8,0,0,0,0,0,0,0,120.3377852,23.053697
20220614,67000,67000180,𦰡拔里,住宅,51,0,0,25,25,0,0,0,0,0,0,0,120.3377852,23.053697
20220208,67000,67000180,𦰡拔里,住宅,50,0,0,2,2,0,0,0,0,0,0,0,120.35037,23.070273
20220207,67000,67000180,𦰡拔里,住宅,50,0,0,9,9,0,0,0,0,0,0,0,120.35037,23.070273
20221221,67000,67000350,塩田里,住宅,50,0,2,13,15,0,0,0,0,0,0,0,120.1531568,23.028049
20221209,67000,67000350,塩田里,住宅,80,0,0,5,5,0,0,0,0,0,0,0,120.1531568,23.028049
20221124,67000,67000350,塩田里,住宅,80,0,0,6,6,0,0,0,0,0,0,0,120.1531568,23.028049
20221110,67000,67000350,塩田里,住宅,80,1,3,19,22,0,1,1,1,1,5,2,120.1531568,23.028049
20221027,67000,67000350,塩田里,住宅,80,0,0,1,1,0,0,0,0,0,0,0,120.1531568,23.028049
20221019,67000,67000350,塩田里,住宅,80,0,0,4,4,0,0,0,0,0,0,0,120.1531568,23.028049
20221006,67000,67000350,塩田里,住宅,80,0,0,4,4,0,0,0,0,0,0,0,120.1531568,23.028049
20220922,67000,67000350,塩田里,住宅,80,0,0,8,8,0,0,0,0,0,0,0,120.1531568,23.028049
20220907,67000,67000350,塩田里,住宅,80,0,0,19,19,0,0,0,0,0,0,0,120.1531568,23.028049
20220902,67000,67000350,塩田里,住宅,120,0,0,8,8,0,0,0,0,0,0,0,120.1531568,23.028049
20220825,67000,67000350,塩田里,住宅,90,1,0,2,2,0,1,1,1,1,50,9,120.1531568,23.028049
20220805,67000,67000350,塩田里,住宅,80,0,0,4,4,0,0,0,0,0,0,0,120.1531568,23.028049
20220725,67000,67000350,塩田里,住宅,80,1,0,12,12,0,1,1,1,1,8,3,120.1531568,23.028049
20220714,67000,67000350,塩田里,住宅,80,0,0,3,3,0,0,0,0,0,0,0,120.1531568,23.028049
20220713,67000,67000350,塩田里,住宅,80,0,0,7,7,0,0,0,0,0,0,0,120.1531568,23.028049
20220701,67000,67000350,塩田里,住宅,80,4,0,11,11,0,4,4,5,2,36,8,120.1531568,23.028049
20220616,67000,67000350,塩田里,住宅,80,6,0,14,14,0,6,6,8,2,43,9,120.1531568,23.028049
20220520,67000,67000350,塩田里,住宅,80,0,0,10,10,0,0,0,0,0,0,0,120.1531568,23.028049
20220506,67000,67000350,塩田里,住宅,80,1,0,6,6,0,1,1,1,1,17,5,120.1531568,23.028049
20220425,67000,67000350,塩田里,住宅,80,0,0,6,6,0,0,0,0,0,0,0,120.1531568,23.028049
20220418,67000,67000350,塩田里,住宅,80,0,0,7,7,0,0,0,0,0,0,0,120.1531568,23.028049
20220412,67000,67000350,塩田里,住宅,80,0,0,1,1,0,0,0,0,0,0,0,120.1531568,23.028049
20220401,67000,67000350,塩田里,住宅,120,0,0,20,20,0,0,0,0,0,0,0,120.1531568,23.028049
20220318,67000,67000350,塩田里,住宅,80,0,0,3,3,0,0,0,0,0,0,0,120.1531568,23.028049
20220303,67000,67000350,塩田里,住宅,80,0,0,4,4,0,0,0,0,0,0,0,120.1531568,23.028049
20220221,67000,67000350,塩田里,住宅,80,0,0,20,20,0,0,0,0,0,0,0,120.1531568,23.028049
20220211,67000,67000350,塩田里,住宅,80,0,0,4,4,0,0,0,0,0,0,0,120.1531568,23.028049
20220120,67000,67000350,塩田里,住宅,80,0,0,2,2,0,0,0,0,0,0,0,120.1531568,23.028049
