日期,縣市別代碼,行政區域代碼,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,經度,緯度
20210906,67000,67000180,𦰡拔里,住宅,50,0,0,8,8,0,0,0,0,0,0,0,120.35037,23.070273
20210907,67000,67000180,𦰡拔里,住宅,50,0,0,4,4,0,0,0,0,0,0,0,120.35037,23.070273
20210107,67000,67000350,鹽田里,住宅,50,0,0,7,7,0,0,0,0,0,0,0,120.1531568,23.028049
20210128,67000,67000350,鹽田里,住宅,50,0,5,5,10,0,0,0,0,0,0,0,120.1531568,23.028049
20210312,67000,67000350,鹽田里,住宅,50,1,3,9,12,0,1,1,2,1,8,3,120.1531568,23.028049
20210312,67000,67000350,鹽田里,住宅,50,1,1,41,42,0,1,1,2,1,2,1,120.1531568,23.028049
20210318,67000,67000350,鹽田里,住宅,50,0,3,12,15,0,0,0,0,0,0,0,120.1531568,23.028049
20210321,67000,67000350,鹽田里,住宅,60,0,0,12,12,0,0,0,0,0,0,0,120.1531568,23.028049
20210324,67000,67000350,鹽田里,住宅,50,0,4,10,14,0,0,0,0,0,0,0,120.1531568,23.028049
20210329,67000,67000350,鹽田里,住宅,51,1,0,17,17,0,1,1,2,1,6,3,120.1531568,23.028049
20210401,67000,67000350,鹽田里,住宅,50,1,0,3,3,0,1,1,2,1,33,8,120.1531568,23.028049
20210413,67000,67000350,鹽田里,住宅,50,0,6,4,10,0,0,0,0,0,0,0,120.1531568,23.028049
20210419,67000,67000350,鹽田里,住宅,50,2,2,7,9,0,2,2,4,1,22,6,120.1531568,23.028049
20210421,67000,67000350,鹽田里,住宅,50,0,0,32,32,0,0,0,0,0,0,0,120.1531568,23.028049
20210429,67000,67000350,鹽田里,住宅,50,0,1,48,49,0,0,0,0,0,0,0,120.1531568,23.028049
20210429,67000,67000350,鹽田里,住宅,50,0,2,22,24,0,0,0,0,0,0,0,120.1531568,23.028049
20210507,67000,67000350,鹽田里,住宅,50,2,0,7,7,0,2,2,4,1,29,7,120.1531568,23.028049
20210514,67000,67000350,鹽田里,住宅,50,0,8,6,14,0,0,0,0,0,0,0,120.1531568,23.028049
20210519,67000,67000350,鹽田里,住宅,50,0,0,12,12,0,0,0,0,0,0,0,120.1531568,23.028049
20210521,67000,67000350,鹽田里,住宅,50,0,0,6,6,0,0,0,0,0,0,0,120.1531568,23.028049
20210525,67000,67000350,鹽田里,住宅,50,0,2,4,6,0,0,0,0,0,0,0,120.1531568,23.028049
20210527,67000,67000350,鹽田里,住宅,80,0,0,3,3,0,0,0,0,0,0,0,120.1531568,23.028049
20210531,67000,67000350,鹽田里,住宅,80,0,0,14,14,0,0,0,0,0,0,0,120.1531568,23.028049
20210607,67000,67000350,鹽田里,住宅,80,0,0,49,49,0,0,0,0,0,0,0,120.1531568,23.028049
20210625,67000,67000350,鹽田里,住宅,80,3,0,22,22,0,3,3,4,1,14,4,120.1531568,23.028049
20210701,67000,67000350,鹽田里,住宅,80,2,0,33,33,0,3,3,4,1,9,3,120.1531568,23.028049
