日期,縣市別代碼,行政區域代碼,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,經度,緯度
20160620,67000,67000270,一甲里,住宅,50,0,2,8,10,0,0,0,0,0,0,0,120.2613689,22.9771958
20160929,67000,67000270,一甲里,住宅,53,6,3,48,51,0,9,9,17,3,18,5,120.2613689,22.9771958
20160929,67000,67000270,一甲里,住宅,75,0,7,47,54,0,0,0,0,0,0,0,120.2613689,22.9771958
20160929,67000,67000270,一甲里,住宅,50,3,7,67,74,0,4,4,8,2,5,2,120.2613689,22.9771958
20160929,67000,67000270,一甲里,住宅,50,6,6,34,40,1,10,11,22,4,28,7,120.2613689,22.9771958
20160131,67000,67000280,七甲里,住宅,69,0,0,8,8,0,0,0,0,0,0,0,120.29299,22.986396
20160121,67000,67000090,七甲里,住宅,50,1,0,13,13,0,1,1,2,1,8,3,120.346058,23.222976
20160317,67000,67000280,七甲里,住宅,50,0,0,8,8,0,0,0,0,0,0,0,120.2830007,22.9820507
20160412,67000,67000090,七甲里,住宅,50,0,0,8,8,0,0,0,0,0,0,0,120.3478746,23.2192017
20160511,67000,67000280,七甲里,住宅,50,1,3,22,25,0,1,1,2,1,0,0,120.2830007,22.9820507
20160719,67000,67000280,七甲里,住宅,50,0,0,22,22,0,0,0,0,0,0,0,120.2830007,22.9820507
20160909,67000,67000280,七甲里,住宅,50,4,1,32,33,0,7,7,14,3,0,0,120.2830007,22.9820507
20161003,67000,67000280,七甲里,住宅,50,3,0,62,62,0,8,8,16,3,13,4,120.2830007,22.9820507
20161019,67000,67000090,七甲里,住宅,50,1,0,9,9,0,1,1,2,1,11,4,120.3478746,23.2192017
20161221,67000,67000090,七甲里,住宅,50,0,0,8,8,0,0,0,0,0,0,0,120.3478746,23.2192017
20160604,67000,67000150,七股里,住宅,61,0,0,19,19,0,0,0,0,0,0,0,120.134391,23.1300216
20160930,67000,67000150,七股里,住宅,50,1,1,0,1,1,0,1,2,1,100,9,120.134391,23.1300216
20161207,67000,67000150,七股里,住宅,55,0,0,8,8,0,0,0,0,0,0,0,120.134391,23.1300216
20160412,67000,67000310,二王里,住宅,50,1,0,24,24,0,1,1,2,1,0,0,120.2469457,23.0177985
20160421,67000,67000310,二王里,住宅,50,0,9,13,22,0,0,0,0,0,0,0,120.2469457,23.0177985
20160505,67000,67000310,二王里,住宅,51,1,14,9,23,2,0,2,4,1,0,0,120.2469457,23.0177985
20160512,67000,67000310,二王里,住宅,50,0,2,16,18,0,0,0,0,0,0,0,23.0177985,120.2469457
20160518,67000,67000310,二王里,住宅,50,1,6,14,20,0,1,1,2,1,5,2,120.2469457,23.0177985
20160526,67000,67000310,二王里,住宅,50,2,2,18,20,0,6,6,12,3,0,0,120.2469457,23.0177985
20160607,67000,67000310,二王里,住宅,50,0,13,8,21,0,0,0,0,0,0,0,120.2469457,23.0177985
20160609,67000,67000310,二王里,住宅,50,1,13,6,19,0,1,1,2,1,5,2,120.2469457,23.0177985
20160611,67000,67000310,二王里,住宅,50,0,9,16,25,0,0,0,0,0,0,0,120.2469457,23.0177985
20160617,67000,67000310,二王里,住宅,10,2,0,4,4,0,3,3,30,4,75,9,120.2469457,23.0177985
20160712,67000,67000310,二王里,住宅,51,2,6,18,24,0,3,3,6,2,0,0,120.2469457,23.0177985
20160714,67000,67000310,二王里,住宅,50,0,12,8,20,0,0,0,0,0,0,0,120.2469457,23.0177985
20160725,67000,67000310,二王里,住宅,50,1,2,7,9,0,2,2,4,1,22,6,120.2469457,23.0177985
20160801,67000,67000310,二王里,住宅,50,4,14,13,27,4,3,7,14,3,0,0.04,120.2469457,23.0177985
20160808,67000,67000310,二王里,住宅,75,1,9,21,30,0,1,1,1,1,0,0,120.2469457,23.0177985
20160811,67000,67000310,二王里,住宅,50,0,1,12,13,0,0,0,0,0,0,0,120.2469457,23.0177985
