日期,縣市別代碼,行政區域代碼,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,經度,緯度
20170224,67000,67000270,一甲里,住宅,50,0,0,4,4,0,0,0,0,0,0,0,120.2613689,22.9771958
20170323,67000,67000270,一甲里,住宅,50,0,0,7,7,0,0,0,0,0,0,0,120.2613689,22.9771958
20170515,67000,67000270,一甲里,住宅,50,5,4,13,17,0,8,8,16,3,47,9,120.254844,22.976543
20170519,67000,67000270,一甲里,住宅,50,1,0,16,16,0,1,1,2,1,6,3,120.254844,22.976543
20170609,67000,67000270,一甲里,住宅,50,3,3,10,13,0,4,4,8,2,31,7,120.261369,22.977196
20170718,67000,67000270,一甲里,住宅,50,7,0,17,17,0,8,8,16,3,47,9,22.9765425,120.2548436
20170718,67000,67000270,一甲里,住宅,50,9,2,20,22,0,13,13,26,4,59,9,22.9765425,120.2548436
20170726,67000,67000270,一甲里,住宅,50,3,0,5,5,0,3,3,6,2,60,9,22.9765425,120.2548436
20170727,67000,67000270,一甲里,住宅,51,4,1,9,10,0,6,6,12,3,60,9,22.9765425,120.2548436
20170808,67000,67000270,一甲里,住宅,50,1,0,14,14,0,2,2,4,1,14,4,22.976543,120.254844
20170824,67000,67000270,一甲里,住宅,50,4,0,11,11,0,5,5,10,3,45,9,22.9765425,120.2548436
20170830,67000,67000270,一甲里,住宅,50,1,0,8,8,0,1,1,2,1,13,4,22.976,120.254
20170906,67000,67000270,一甲里,住宅,50,1,0,11,11,0,1,1,2,1,9,3,22.976543,120.2548436
20170922,67000,67000270,一甲里,住宅,51,1,1,17,18,0,1,1,2,1,6,3,22.9771958,120.2613689
20170930,67000,67000270,一甲里,住宅,50,2,5,4,9,2,0,2,4,1,22,6,22.9771958,120.2613689
20171011,67000,67000270,一甲里,住宅,50,1,4,4,8,0,1,1,2,1,13,4,22.9771958,120.2613689
20171018,67000,67000270,一甲里,住宅,50,1,0,3,3,0,1,1,2,1,33,8,22.9771958,120.2613689
20171023,67000,67000270,一甲里,住宅,59,0,0,6,6,0,0,0,0,0,0,0,22.9771958,120.2613689
20171101,67000,67000270,一甲里,住宅,51,2,0,10,10,0,2,2,4,1,20,5,22.9765425,120.2548436
20171219,67000,67000270,一甲里,住宅,50,0,0,8,8,0,0,0,0,0,0,0,22.9765425,120.2548436
20171221,67000,67000270,一甲里,住宅,53,0,0,3,3,0,0,0,0,0,0,0,22.9765425,120.2548436
20171227,67000,67000270,一甲里,住宅,50,3,4,9,13,0,4,4,8,2,31,7,22.9765425,120.2548436
20170116,67000,67000280,七甲里,住宅,50,1,2,17,19,0,1,1,2,1,5,2,120.2830007,22.9820507
20170425,67000,67000090,七甲里,住宅,50,0,0,1,1,0,0,0,0,0,0,0,120.3478746,23.2192017
20170621,67000,67000090,七甲里,住宅,50,0,0,6,6,0,0,0,0,0,0,0,120.3478746,23.2192017
20170818,67000,67000280,七甲里,住宅,50,1,0,11,11,0,1,1,2,1,9,3,22.9820507,120.2830007
20170821,67000,67000090,七甲里,住宅,50,0,0,8,8,0,0,0,0,0,0,0,23,120.3478746
20171205,67000,67000280,七甲里,住宅,50,0,0,18,18,0,0,0,0,0,0,0,22.9820507,120.2830007
20171220,67000,67000150,七股里,住宅,60,0,0,2,2,0,0,0,0,0,0,0,23.1300216,120.134391
20170103,67000,67000310,二王里,住宅,50,0,0,8,8,0,0,0,0,0,0,0,120.2469457,23.0177985
20170105,67000,67000310,二王里,住宅,50,0,2,12,14,0,0,0,0,0,0,0,120.2469457,23.0177985
20170209,67000,67000310,二王里,住宅,50,0,1,7,8,0,0,0,0,0,0,0,120.2469457,23.0177985
20170220,67000,67000310,二王里,住宅,50,1,4,3,7,0,1,1,2,1,14,4,120.2469457,23.0177985
20170503,67000,67000310,二王里,住宅,50,1,2,18,20,0,1,1,2,1,5,2,120.2469457,23.0177985
20170518,67000,67000310,二王里,住宅,50,1,6,8,14,0,2,2,4,1,14,4,120.246946,23.017799
20170523,67000,67000310,二王里,住宅,50,0,2,4,6,0,0,0,0,0,0,0,120.2469457,23.0177985
20170601,67000,67000310,二王里,住宅,50,6,0,50,50,0,8,8,16,3,16,5,120.2469457,23.0177985
20170621,67000,67000310,二王里,住宅,50,3,1,39,40,0,8,8,16,3,20,5,120.2469457,23.0177985
20170628,67000,67000310,二王里,住宅,50,1,1,12,13,0,1,1,2,1,8,3,120.2469457,23.0177985
20170626,67000,67000310,二王里,住宅,50,1,8,3,11,0,1,1,2,1,9,3,120.2469457,23.0177985
20170707,67000,67000310,二王里,住宅,50,1,0,7,7,0,1,1,2,1,14,4,23.0177985,120.2469457
20170726,67000,67000310,二王里,住宅,50,0,7,2,9,0,0,0,0,0,0,0,23.0177985,120.2469457
20170802,67000,67000310,二王里,住宅,50,1,0,31,31,0,2,2,4,1,6,3,23.0177985,120.2469457
20170807,67000,67000310,二王里,住宅,50,2,5,17,22,0,2,2,4,1,9,3,23.017799,120.246946
20170814,67000,67000310,二王里,住宅,50,0,0,5,5,0,0,0,0,0,0,0,23.0177985,120.2469457
20170906,67000,67000310,二王里,住宅,50,0,1,12,13,0,0,0,0,0,0,0,23.0177985,120.2469457
20170913,67000,67000310,二王里,住宅,50,2,3,10,13,0,2,2,4,1,15,5,23.0177985,120.2469457
20170915,67000,67000310,二王里,住宅,50,0,0,3,3,0,0,0,0,0,0,0,23.0177985,120.2469457
20170922,67000,67000310,二王里,住宅,75,4,3,20,23,0,4,4,5,2,17,5,23.0177985,120.2469457
20170928,67000,67000310,二王里,住宅,50,0,2,7,9,0,0,0,0,0,0,0,23.0177985,120.2469457
20171006,67000,67000310,二王里,住宅,50,1,2,3,5,0,1,1,2,1,20,5,23.0177985,120.2469457
20171020,67000,67000310,二王里,住宅,50,1,7,9,16,0,1,1,2,1,6,3,23.0177985,120.2469457
20171110,67000,67000310,二王里,住宅,75,1,5,15,20,0,1,1,1,1,5,2,23.0177985,120.2469457
20171208,67000,67000310,二王里,住宅,50,1,0,11,11,0,1,1,2,1,9,3,23.0177985,120.2469457
20171220,67000,67000310,二王里,住宅,50,0,3,7,10,0,0,0,0,0,0,0,23.0177985,120.2469457
20171227,67000,67000310,二王里,住宅,50,0,3,8,11,0,0,0,0,0,0,0,23.0177985,120.2469457
20170124,67000,67000090,二甲里,住宅,60,0,0,8,8,0,0,0,0,0,0,0,120.344992,23.2278593
20170221,67000,67000090,二甲里,住宅,50,0,2,5,7,0,0,0,0,0,0,0,120.344992,23.2278593
20170911,67000,67000090,二甲里,住宅,50,0,0,9,9,0,0,0,0,0,0,0,23.2278593,120.344992
20171102,67000,67000090,二甲里,住宅,50,2,2,3,5,0,2,2,4,1,40,8,23.2278593,120.344992
20171218,67000,67000090,二甲里,住宅,60,0,0,4,4,0,0,0,0,0,0,0,23.2281358,120.3461105
20170509,67000,67000270,二行里,住宅,50,2,1,9,10,0,2,2,4,1,20,5,120.2209801,22.9212251
20170606,67000,67000270,二行里,住宅,50,3,1,12,13,0,4,4,8,2,31,7,120.22098,22.921225
20170612,67000,67000270,二行里,住宅,50,3,0,11,11,0,3,3,6,2,27,6,120.2209801,22.9212251
20170704,67000,67000270,二行里,住宅,50,5,0,14,14,0,6,6,12,3,43,9,22.9212251,120.2209801
20170720,67000,67000270,二行里,住宅,50,5,1,8,9,0,6,6,12,3,67,9,22.9212251,120.2209801
20170814,67000,67000270,二行里,住宅,50,5,0,15,15,0,5,5,10,3,33,8,22.9212251,120.2209801
20170821,67000,67000270,二行里,住宅,50,4,1,14,15,0,4,4,8,2,27,6,22.9212251,120.2209801
20170829,67000,67000270,二行里,住宅,50,6,0,20,20,0,12,12,24,4,60,9,22.921,120.22
20170904,67000,67000270,二行里,住宅,50,5,0,14,14,0,6,6,12,3,43,9,22.9212251,120.2209801
20170904,67000,67000270,二行里,住宅,50,4,0,11,11,0,4,4,8,2,36,8,22.9212251,120.2209801
20170911,67000,67000270,二行里,住宅,50,1,0,8,8,0,1,1,2,1,13,4,22.9212251,120.2209801
20170918,67000,67000270,二行里,住宅,53,0,4,11,15,0,0,0,0,0,0,0,22.9212251,120.2209801
20170925,67000,67000270,二行里,住宅,50,1,0,14,14,0,1,1,2,1,7,3,22.9212251,120.2209801
20171002,67000,67000270,二行里,住宅,50,1,0,12,12,0,1,1,2,1,8,3,22.9212251,120.2209801
20171016,67000,67000270,二行里,住宅,50,0,0,8,8,0,0,0,0,0,0,0,22.9212251,120.2209801
20171023,67000,67000270,二行里,住宅,50,0,1,5,6,0,0,0,0,0,0,0,22.9212251,120.2209801
20171030,67000,67000270,二行里,住宅,50,1,0,7,7,0,1,1,2,1,14,4,22.9212251,120.2209801
20171106,67000,67000270,二行里,住宅,50,1,1,6,7,0,1,1,2,1,14,4,22.9212251,120.2209801
20171113,67000,67000270,二行里,住宅,51,1,0,10,10,0,1,1,2,1,10,4,22.9212251,120.2209801
20171127,67000,67000270,二行里,住宅,50,2,0,11,11,0,2,2,4,1,18,5,22.9212251,120.2209801
20171204,67000,67000270,二行里,住宅,50,1,0,13,13,0,1,1,2,1,8,3,22.9212251,120.2209801
20171211,67000,67000270,二行里,住宅,50,1,0,9,9,0,1,1,2,1,11,4,22.9212251,120.2209801
20171218,67000,67000270,二行里,住宅,50,2,4,17,21,0,2,2,4,1,10,4,22.9212251,120.2209801
20171225,67000,67000270,二行里,住宅,50,1,0,6,6,0,1,1,2,1,17,5,22.9212251,120.2209801
20170220,67000,67000110,二溪里,住宅,50,0,0,12,12,0,0,0,0,0,0,0,120.4184782,23.122445
20170310,67000,67000110,二溪里,住宅,50,0,0,3,3,0,0,0,0,0,0,0,120.4184782,23.122445
20170821,67000,67000110,二溪里,住宅,50,0,0,3,3,0,0,0,0,0,0,0,23,120.4184782
20171003,67000,67000110,二溪里,地區,50,0,1,0,1,0,0,0,0,0,0,0,23.122445,120.4184782
20170220,67000,67000260,二寮里,住宅,50,0,0,3,3,0,0,0,0,0,0,0,120.4155972,22.9863293
20170215,67000,67000100,二鎮里,住宅,55,0,0,14,14,0,0,0,0,0,0,0,120.3262535,23.2063507
20170504,67000,67000100,二鎮里,住宅,55,0,2,11,13,0,0,0,0,0,0,0,120.326254,23.206351
20170921,67000,67000100,二鎮里,住宅,50,1,17,13,30,0,1,1,2,1,3,2,23.2063507,120.3262535
20170825,67000,67000040,人和里,住宅,50,0,0,7,7,0,0,0,0,0,0,0,23.2896492,120.3003035
20170921,67000,67000040,人和里,住宅,50,0,0,11,11,0,0,0,0,0,0,0,23.2896492,120.3003035
20170317,67000,67000280,八甲里,住宅,50,0,0,3,3,0,0,0,0,0,0,0,120.2988617,22.9746957
20171213,67000,67000280,八甲里,住宅,50,0,0,7,7,0,0,0,0,0,0,0,22.9746957,120.2988617
20170120,67000,67000040,八翁里,住宅,50,0,0,3,3,0,0,0,0,0,0,0,120.2945362,23.2694095
20170316,67000,67000040,八翁里,住宅,50,0,0,1,1,0,0,0,0,0,0,0,120.2945362,23.2694095
20170522,67000,67000040,八翁里,住宅,50,0,0,2,2,0,0,0,0,0,0,0,120.2945362,23.2694095
20171116,67000,67000040,八翁里,住宅,50,0,0,0,0,0,0,0,0,0,0,0,23.2694095,120.2945362
20170106,67000,67000340,力行里,住宅,75,0,7,2,9,0,0,0,0,0,0,0,120.2292752,23.0084185
20170207,67000,67000340,力行里,住宅,50,1,6,14,20,0,1,1,2,1,5,2,120.2292752,23.0084185
20170303,67000,67000340,力行里,住宅,50,1,3,5,8,1,0,1,2,1,13,4,120.2292752,23.0084185
20170329,67000,67000340,力行里,住宅,50,0,1,4,5,0,0,0,0,0,0,0,120.2292752,23.0084185
20170425,67000,67000340,力行里,住宅,50,0,1,5,6,0,0,0,0,0,0,0,120.2292752,23.0084185
20170524,67000,67000340,力行里,其他,50,0,0,4,4,0,0,0,0,0,0,0,120.2292752,23.0084185
20170608,67000,67000340,力行里,其他,50,1,4,10,14,0,1,1,2,1,7,3,120.229275,23.008419
20170621,67000,67000340,力行里,其他,50,1,5,15,20,0,4,4,8,2,20,5,120.2292752,23.0084185
20170627,67000,67000340,力行里,住宅,50,0,5,6,11,0,0,0,0,0,0,0,120.2292752,23.0084185
20170704,67000,67000340,力行里,其他,50,1,5,11,16,0,1,1,2,1,6,3,23.0084185,120.2292752
20170726,67000,67000340,力行里,其他,50,0,17,7,24,0,0,0,0,0,0,0,23.0084185,120.2292752
20170809,67000,67000340,力行里,其他,50,0,1,5,6,0,0,0,0,0,0,0,23.008419,120.229275
20170904,67000,67000340,力行里,其他,50,1,5,11,16,0,1,1,2,1,6,3,23.0084185,120.2292752
20170904,67000,67000340,力行里,其他,50,0,7,12,19,0,0,0,0,0,0,0,23.0084185,120.2292752
20170913,67000,67000340,力行里,其他,50,0,7,4,11,0,0,0,0,0,0,0,23.0084185,120.2292752
20170915,67000,67000340,力行里,地區,50,0,4,4,8,0,0,0,0,0,0,0,23.0084185,120.2292752
20170915,67000,67000340,力行里,其他,50,0,3,5,8,0,0,0,0,0,0,0,23.0084185,120.2292752
20170930,67000,67000340,力行里,其他,57,1,2,8,10,0,1,1,2,1,10,4,23.0084185,120.2292752
20171003,67000,67000340,力行里,其他,50,0,4,9,13,0,0,0,0,0,0,0,23.0084185,120.2292752
20171020,67000,67000340,力行里,住宅,50,0,2,2,4,0,0,0,0,0,0,0,23.0084185,120.2292752
20171026,67000,67000340,力行里,住宅,50,0,0,5,5,0,0,0,0,0,0,0,23.0084185,120.2292752
20171030,67000,67000340,力行里,住宅,50,0,5,11,16,0,0,0,0,0,0,0,23.0084185,120.2292752
20171123,67000,67000340,力行里,住宅,50,0,4,7,11,0,0,0,0,0,0,0,23.0084185,120.2292752
20171128,67000,67000340,力行里,住宅,50,0,4,4,8,0,0,0,0,0,0,0,23.0084185,120.2292752
20171222,67000,67000340,力行里,住宅,50,1,4,12,16,0,1,1,2,1,6,3,23.0084185,120.2292752
20170220,67000,67000150,十份里,住宅,50,1,0,2,2,0,1,1,2,1,50,9,120.0549683,23.0861798
20170118,67000,67000010,三仙里,其他,50,0,0,1,1,0,0,0,0,0,0,0,120.3111166,23.3121679
20170216,67000,67000010,三仙里,學校,50,0,12,0,12,0,0,0,0,0,0,0,120.3111166,23.3121679
20170719,67000,67000010,三仙里,住宅,50,0,0,11,11,0,0,0,0,0,0,0,23.3121679,120.3111166
20170106,67000,67000310,三民里,住宅,50,1,3,11,14,0,2,2,4,1,14,4,120.2483881,23.0537318
20170120,67000,67000370,三民里,住宅,50,0,9,3,12,0,0,0,0,0,0,0,120.2058311,22.994872
20170124,67000,67000310,三民里,住宅,50,0,1,14,15,0,0,0,0,0,0,0,120.2483881,23.0537318
20170207,67000,67000310,三民里,住宅,50,0,3,6,9,0,0,0,0,0,0,0,120.2483881,23.0537318
20170307,67000,67000370,三民里,住宅,50,0,7,5,12,0,0,0,0,0,0,0,120.2058311,22.994872
20170420,67000,67000370,三民里,住宅,50,0,4,10,14,0,0,0,0,0,0,0,120.2058311,22.994872
20170420,67000,67000370,三民里,住宅,50,1,4,15,19,0,2,2,4,1,11,4,120.2058311,22.994872
20170508,67000,67000370,三民里,住宅,50,1,3,10,13,0,1,1,2,1,8,3,120.2058311,22.994872
20170509,67000,67000310,三民里,住宅,50,1,4,11,15,0,1,1,2,1,7,3,120.2483881,23.0537318
20170515,67000,67000310,三民里,住宅,51,1,4,21,25,0,1,1,2,1,4,2,120.248388,23.053732
20170616,67000,67000370,三民里,住宅,50,3,3,7,10,2,1,3,6,2,30,7,120.2058311,22.994872
20170626,67000,67000370,三民里,住宅,50,1,2,6,8,0,1,1,2,1,13,4,120.2058311,22.994872
20170708,67000,67000370,三民里,住宅,50,2,0,4,4,0,2,2,4,1,50,9,22.994872,120.2058311
20170725,67000,67000370,三民里,住宅,50,3,16,6,22,1,2,3,6,2,14,4,22.994872,120.2058311
20170811,67000,67000310,三民里,住宅,50,3,2,23,25,0,5,5,10,3,20,5,23.053732,120.248388
20170911,67000,67000310,三民里,地區,50,0,1,14,15,0,0,0,0,0,0,0,23.0537318,120.2483881
20170918,67000,67000310,三民里,其他,50,0,0,6,6,0,0,0,0,0,0,0,23.0537318,120.2483881
20170928,67000,67000370,三民里,住宅,50,0,21,10,31,0,0,0,0,0,0,0,22.994872,120.2058311
20170925,67000,67000310,三民里,住宅,75,6,2,37,39,0,6,6,8,2,15,5,23.0537318,120.2483881
20171003,67000,67000310,三民里,住宅,50,2,1,13,14,0,2,2,4,1,14,4,23.0537318,120.2483881
20171013,67000,67000370,三民里,其他,50,2,4,9,13,2,1,3,6,2,23,6,22.994872,120.2058311
20171012,67000,67000310,三民里,住宅,50,0,0,8,8,0,0,0,0,0,0,0,23.0537318,120.2483881
20171019,67000,67000310,三民里,住宅,50,1,0,23,23,0,1,1,2,1,4,2,23.0537318,120.2483881
20171026,67000,67000310,三民里,住宅,50,1,0,18,18,0,1,1,2,1,6,3,23.0537318,120.2483881
20171031,67000,67000310,三民里,住宅,50,0,0,8,8,0,0,0,0,0,0,0,23.0537318,120.2483881
20171102,67000,67000310,三民里,住宅,50,0,2,11,13,0,0,0,0,0,0,0,23.0537318,120.2483881
20171109,67000,67000310,三民里,住宅,75,1,6,19,25,0,1,1,1,1,4,2,23.0537318,120.2483881
20171120,67000,67000310,三民里,住宅,50,1,2,13,15,0,1,1,2,1,7,3,23.0537318,120.2483881
20171124,67000,67000310,三民里,住宅,50,0,0,9,9,0,0,0,0,0,0,0,23.0537318,120.2483881
20171129,67000,67000310,三民里,住宅,50,0,0,18,18,0,0,0,0,0,0,0,23.0537318,120.2483881
20171212,67000,67000310,三民里,住宅,50,0,0,12,12,0,0,0,0,0,0,0,23.0537318,120.2483881
20171222,67000,67000370,三民里,住宅,50,0,9,14,23,0,0,0,0,0,0,0,22.994872,120.2058311
